iter	RMSE
0	1.056393051
1	1.038148004
2	1.020704199
3	1.002481935
4	0.985944442
5	0.9689352551
6	0.9522888012
7	0.9373350431
8	0.9217898059
9	0.9064870045
10	0.8919996773
11	0.8786039248
12	0.8672232874
13	0.8531876974
14	0.8413201697
15	0.8286529106
16	0.8168679614
17	0.8057826431
18	0.7953282289
19	0.7848692487
20	0.7743614867
21	0.76415204
22	0.7562729492
23	0.7463281511
24	0.7384888664
25	0.7289484359
26	0.7198283172
27	0.7121377948
28	0.7040607464
29	0.6947206152
30	0.6877485278
31	0.6801629959
32	0.6727061421
33	0.6662590657
34	0.6587392335
35	0.6535668575
36	0.6484172494
37	0.6419474695
38	0.6355938682
39	0.6310100084
40	0.6256533202
41	0.6204106148
42	0.6143277941
43	0.6096605842
44	0.6044843211
45	0.5987802515
46	0.5930963557
47	0.5884997866
48	0.5847089345
49	0.5806107448
50	0.5765255751
51	0.5714693223
52	0.5670038965
53	0.5642120862
54	0.5603834771
55	0.5564572407
56	0.5534015836
57	0.5503403788
58	0.5479278731
59	0.5453064013
60	0.5426073079
61	0.5407771666
62	0.5371488154
63	0.535012222
64	0.5323663806
65	0.5290465051
66	0.5260605816
67	0.5237767502
68	0.5216050292
69	0.5197131566
70	0.5168851932
71	0.5136610644
72	0.5113243449
73	0.509340473
74	0.5068437834
75	0.5043538826
76	0.5022500731
77	0.5006648353
78	0.4986347002
79	0.4970817428
80	0.4955151046
81	0.4941989665
82	0.4926301783
83	0.4906037432
84	0.4887243537
85	0.4870258054
86	0.4859096072
87	0.4846654638
88	0.4827682372
89	0.4814855073
90	0.4800349651
91	0.478747584
92	0.4770436212
93	0.4754147348
94	0.4740897521
95	0.4729062193
96	0.4718616541
97	0.4703804875
98	0.4690657842
99	0.4680216521
100	0.4667871243
101	0.4656847585
102	0.4649231839
103	0.4637993126
104	0.4626736384
105	0.4613241859
106	0.4596523797
107	0.458615887
108	0.4575410506
109	0.4567284276
110	0.4559499885
111	0.4547313001
112	0.4536719894
113	0.452647296
114	0.4515314318
115	0.4509690917
116	0.4500314795
117	0.4491613639
118	0.4479045034
119	0.4471696885
120	0.4465974651
121	0.445649395
122	0.4450053157
123	0.4443954949
124	0.4436466099
125	0.4428648925
126	0.4420960486
127	0.4413038085
128	0.4407011037
129	0.4398884856
130	0.4390179676
131	0.4382863174
132	0.4377470504
133	0.4372887209
134	0.4366516971
135	0.4358927469
136	0.435128889
137	0.4346551789
138	0.4339677772
139	0.4333279604
140	0.43267113
141	0.4320789994
142	0.4313146733
143	0.4308434969
144	0.4299178685
145	0.4293197533
146	0.4287639723
147	0.4281583189
148	0.427714914
149	0.4269260818
150	0.4265900928
151	0.4261678606
152	0.4256424404
153	0.425365534
